outcome,team_trophies,opp_trophies,trophy_diff,team_avg_elixir,opp_avg_elixir,elixir_diff,team_avg_level,opp_avg_level,level_diff,team_card_ids,opp_card_ids,exp_level,battle_count,hour_of_day,battle_time,player_tag,team_crowns,opp_crowns,team_deck_meta_score,opp_deck_meta_score,deck_meta_score_diff,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,player_win_rate,trophy_diff_category
1,,,,3.625,3.75,-0.125,10.75,10.25,0.5,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000037, 26000000, 26000006, 28000015, 26000034, 28000012, 28000005, 26000015]",77,8859,16,20260411T162208.000Z,#QPUJY0LRQ,3,0,0.5,0.5,0.0,3.25,3.75,-0.5,0.76,unknown
1,,,,3.625,3.5,0.125,10.75,13.5,-2.75,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000056, 26000002, 27000002, 26000054, 28000000, 26000005, 26000053, 28000015]",77,8859,12,20260411T124503.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,0.5,2.75,0.76,unknown
1,,,,3.625,3.875,-0.25,10.75,9.875,0.875,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000036, 26000062, 26000050, 26000004, 28000000, 26000042, 26000046, 28000008]",77,8859,12,20260411T123947.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,4.125,-0.875,0.76,unknown
1,,,,3.625,4.5,-0.875,10.75,10.25,0.5,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000007, 26000055, 26000064, 26000011, 26000083, 26000018, 26000042, 26000016]",77,8859,12,20260411T123502.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,3.75,-0.5,0.76,unknown
1,,,,3.625,4.0,-0.375,10.75,13.375,-2.625,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000047, 26000039, 27000012, 26000059, 26000095, 28000001, 26000019, 26000015]",77,8859,12,20260411T121605.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,0.625,2.625,0.76,unknown
1,,,,3.625,3.875,-0.25,10.75,10.5,0.25,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000012, 26000006, 26000015, 28000001, 26000005, 26000037, 28000007, 26000032]",77,8859,8,20260411T083224.000Z,#QPUJY0LRQ,2,1,0.5,0.5,0.0,3.25,3.5,-0.25,0.76,unknown
1,,,,3.625,3.875,-0.25,10.75,10.75,0.0,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000036, 26000062, 26000050, 28000008, 28000000, 26000080, 26000046, 26000004]",77,8859,8,20260411T081843.000Z,#QPUJY0LRQ,3,0,0.5,0.5,0.0,3.25,3.25,0.0,0.76,unknown
1,,,,3.625,4.625,-1.0,10.75,11.75,-1.0,"[26000050, 26000074, 26000036, 26000044, 26000028, 28000015, 28000008, 28000016]","[26000004, 26000011, 26000017, 26000059, 26000016, 26000022, 26000012, 28000013]",77,8859,20,20260410T204449.000Z,#QPUJY0LRQ,1,0,0.5,0.5,0.0,3.25,2.25,1.0,0.76,unknown
0,13620.0,13620.0,0.0,3.125,4.625,-1.5,13.25,13.0,0.25,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[27000012, 28000015, 26000047, 28000007, 26000052, 28000001, 28000025, 26000059]",72,16908,22,20260411T221501.000Z,#GLC0PV99,0,1,0.5,0.5,0.0,0.75,1.0,-0.25,0.48,equal
0,13649.0,13650.0,-1.0,3.125,4.125,-1.0,13.25,11.875,1.375,"[27000010, 26000000, 28000015, 28000010, 28000009, 26000102, 27000001, 26000030]","[26000055, 26000018, 26000056, 27000010, 28000008, 28000007, 26000032, 26000037]",72,16908,22,20260411T220811.000Z,#GLC0PV99,0,3,0.5,0.5,0.0,0.75,2.125,-1.375,0.48,equal
