outcome,trophy_diff,elixir_diff,level_diff,deck_meta_score_diff,team_avg_elixir,opp_avg_elixir,team_avg_level,opp_avg_level,team_deck_meta_score,opp_deck_meta_score,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,exp_level,battle_count,player_win_rate,hour_of_day,trophy_diff_category
1,-4.0,-0.75,0.75,0.034294948855823404,3.125,3.875,13.25,12.5,0.4802342403952492,0.4459392915394258,0.75,1.5,-0.75,72,16908,0.48,20,equal
0,-4.0,-0.875,4.0,-0.022877467655611716,3.125,4.0,13.25,9.25,0.4802342403952492,0.5031117080508609,0.75,4.75,-4.0,72,16908,0.48,20,equal
0,,-0.625,-0.375,-0.0067523219776942645,3.25,3.875,11.875,12.25,0.5005303933025994,0.5072827152802937,2.125,1.75,0.375,70,12346,0.631578947368421,12,unknown
0,,0.0,-1.0,-0.016572730139589154,3.25,3.25,11.875,12.875,0.5005303933025994,0.5171031234421886,2.125,1.125,1.0,70,12346,0.631578947368421,12,unknown
1,,-1.125,-1.75,0.032684163598021954,3.25,4.375,11.875,13.625,0.5005303933025994,0.46784622970457745,2.125,0.375,1.75,70,12346,0.631578947368421,12,unknown
0,1.0,-0.75,1.625,-0.020656169178182027,2.875,3.625,12.125,10.5,0.5071139115257016,0.5277700807038836,1.875,3.5,-1.625,70,12346,0.631578947368421,12,equal
0,5.0,-0.75,-1.125,-0.004105824484034182,2.875,3.625,12.125,13.25,0.5071139115257016,0.5112197360097358,1.875,0.75,1.125,70,12346,0.631578947368421,12,equal
1,-25.0,-1.0,2.0,-0.005781526533554238,2.875,3.875,12.125,10.125,0.5071139115257016,0.5128954380592559,1.875,3.875,-2.0,70,12346,0.631578947368421,12,lower
1,12.0,-1.125,-1.0,-0.01601048666336191,2.875,4.0,12.125,13.125,0.5071139115257016,0.5231243981890635,1.875,0.875,1.0,70,12346,0.631578947368421,11,higher
1,-5.0,-0.875,-0.5,0.03948001185469413,2.875,3.75,12.125,12.625,0.5071139115257016,0.4676338996710075,1.875,1.375,0.5,70,12346,0.631578947368421,11,equal
0,,-1.125,1.25,-0.00967373174831554,3.25,4.375,11.875,10.625,0.5005303933025994,0.510204125050915,2.125,3.375,-1.25,70,12346,0.631578947368421,7,unknown
1,,-0.625,2.25,0.009508876682347789,3.25,3.875,11.875,9.625,0.5005303933025994,0.4910215166202516,2.125,4.375,-2.25,70,12346,0.631578947368421,7,unknown
1,,0.0,-2.25,-0.0038190659791473847,3.25,3.25,11.875,14.125,0.5005303933025994,0.5043494592817468,2.125,-0.125,2.25,70,12346,0.631578947368421,7,unknown
1,,-1.0,-0.25,0.010113895690010477,2.875,3.875,11.875,12.125,0.5055470806728161,0.4954331849828056,2.125,1.875,0.25,70,12346,0.631578947368421,22,unknown
0,,-0.5,-0.75,0.01561390145693986,2.875,3.375,11.875,12.625,0.5055470806728161,0.4899331792158762,2.125,1.375,0.75,70,12346,0.631578947368421,22,unknown
1,,-1.875,0.0,0.012893506062238658,2.875,4.75,11.875,11.875,0.5055470806728161,0.4926535746105774,2.125,2.125,0.0,70,12346,0.631578947368421,22,unknown
1,,-0.625,-0.125,0.019297711534069173,2.875,3.5,11.875,12.0,0.5055470806728161,0.4862493691387469,2.125,2.0,0.125,70,12346,0.631578947368421,22,unknown
0,,0.0,0.25,0.008566193207478034,2.875,2.875,11.875,11.625,0.5055470806728161,0.49698088746533803,2.125,2.375,-0.25,70,12346,0.631578947368421,22,unknown
1,,-1.375,1.375,0.0338390190377198,2.875,4.25,11.875,10.5,0.5055470806728161,0.47170806163509627,2.125,3.5,-1.375,70,12346,0.631578947368421,22,unknown
1,,0.375,0.25,0.03162621011817918,4.5,4.125,6.125,5.875,0.5221440923431611,0.4905178822249819,7.875,8.125,-0.25,70,12346,0.631578947368421,9,unknown
1,,0.125,0.0,-0.01625258851547845,4.375,4.25,6.625,6.625,0.4998131186763271,0.5160657071918056,7.375,7.375,0.0,70,12346,0.631578947368421,9,unknown
1,,1.5,-2.625,0.03793432485186171,4.625,3.125,9.625,12.25,0.5230524752729748,0.4851181504211131,4.375,1.75,2.625,62,3946,0.6086956521739131,22,unknown
1,,1.5,-3.25,0.014946780419380357,4.625,3.125,9.625,12.875,0.5230524752729748,0.5081056948535945,4.375,1.125,3.25,62,3946,0.6086956521739131,22,unknown
0,,1.75,-2.375,0.026071587807636853,4.625,2.875,9.625,12.0,0.5230524752729748,0.496980887465338,4.375,2.0,2.375,62,3946,0.6086956521739131,22,unknown
0,,0.625,-2.375,-0.003131647963680928,4.625,4.0,9.625,12.0,0.5230524752729748,0.5261841232366558,4.375,2.0,2.375,62,3946,0.6086956521739131,22,unknown
0,,1.125,-2.0,0.02003388942397266,4.625,3.5,9.625,11.625,0.5230524752729748,0.5030185858490022,4.375,2.375,2.0,62,3946,0.6086956521739131,22,unknown
0,,0.875,-0.875,-0.004022110001322798,4.625,3.75,9.625,10.5,0.5230524752729748,0.5270745852742976,4.375,3.5,0.875,62,3946,0.6086956521739131,22,unknown
1,,0.625,-2.75,0.014199387059325774,4.625,4.0,9.625,12.375,0.5230524752729748,0.508853088213649,4.375,1.625,2.75,62,3946,0.6086956521739131,22,unknown
1,,1.5,-2.75,0.026390985483246587,4.625,3.125,9.625,12.375,0.5230524752729748,0.49666148978972824,4.375,1.625,2.75,62,3946,0.6086956521739131,22,unknown
1,,0.75,-3.5,-0.0008097593556659621,4.625,3.875,9.625,13.125,0.5230524752729748,0.5238622346286408,4.375,0.875,3.5,62,3946,0.6086956521739131,22,unknown
0,,1.375,-2.25,0.003391336571039627,4.625,3.25,9.625,11.875,0.5230524752729748,0.5196611387019352,4.375,2.125,2.25,62,3946,0.6086956521739131,22,unknown
1,,2.25,-1.5,0.010016624825754827,4.625,2.375,9.625,11.125,0.5230524752729748,0.51303585044722,4.375,2.875,1.5,62,3946,0.6086956521739131,22,unknown
1,,1.875,-3.125,0.04734873335830181,4.625,2.75,9.625,12.75,0.5230524752729748,0.475703741914673,4.375,1.25,3.125,62,3946,0.6086956521739131,22,unknown
1,,0.75,-2.25,0.028978062657737724,4.625,3.875,9.625,11.875,0.5230524752729748,0.4940744126152371,4.375,2.125,2.25,62,3946,0.6086956521739131,21,unknown
1,,1.125,-1.75,0.0365656843433525,4.625,3.5,9.625,11.375,0.5230524752729748,0.4864867909296223,4.375,2.625,1.75,62,3946,0.6086956521739131,21,unknown
0,,0.75,-2.875,0.027871133598244113,4.625,3.875,9.625,12.5,0.5230524752729748,0.4951813416747307,4.375,1.5,2.875,62,3946,0.6086956521739131,21,unknown
1,,0.5,-2.5,-0.0012100227826022936,4.625,4.125,9.625,12.125,0.5230524752729748,0.5242624980555771,4.375,1.875,2.5,62,3946,0.6086956521739131,21,unknown
1,,1.0,-1.125,0.04199187269365484,4.625,3.625,9.625,10.75,0.5230524752729748,0.48106060257932,4.375,3.25,1.125,62,3946,0.6086956521739131,21,unknown
